brand,discount_percent,title,categories,link
ALDO,70,Up to 70% off*,Footwear,https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/aldo/
Aritzia,70,Up to 70% off everything*,,https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/aritzia/
Armani Exchange,70,Up to 70% off*,"Clothing, Menswear, Womenswear",https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/armani-exchange/
adidas,60,Up to 60% off*,"Children, Clothing, Footwear, Sportswear",https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/adidas-percent/
Banana Republic,50,50% off everything*,"Clothing, Menswear, Womenswear",https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/banana-republic/
Calvin Klein,50,Up to 50% off entire store + 20% off entire purchase*,"Accessories & Bags, Clothing, Menswear, Womenswear",https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/calvin-klein/
Carter's,50,Up to 50% off*,"Children, Clothing, Childrenswear",https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/carters/
All Saints,40,Extra 40% off*,"Accessories & Bags, Clothing, Menswear, Womenswear",https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/allsaints/
Burberry,40,"40% off wool outerwear* | 40% off bags, wallets, hats* | 40% off men's puffers","Luxury, Accessories & Bags, Clothing, Menswear, Womenswear",https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/burberry/
Browns,25,Extra 25% off*,"Accessories & Bags, Footwear",https://www.mcarthurglen.com/en/outlets/ca/designer-outlet-vancouver/offers/browns/
